Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
Ticker,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,,,,
Date,,,,,,,,,
2019-08-19,1261.4337158203125,1285.5868246318873,1133.8430484563992,1151.994217855381,206274,1261.4337158203125,1261.4337158203125,1261.4337158203125,1261.4337158203125
2019-08-20,1218.35498046875,1287.5229916619155,1203.4951280953082,1258.4811196695416,67991,1257.3309791201636,1259.744353649663,1260.5806715559252,1261.0050716874614
2019-08-21,1197.6383056640625,1246.8642502964803,1190.7650869248673,1224.5020346591925,37234,1251.645962600535,1257.30882235611,1259.3342880729178,1260.3745566026514
2019-08-22,1152.4298095703125,1217.8224704132394,1143.2816673752272,1197.4931604937815,19168,1242.1968051690853,1253.1959198939219,1257.2173677065298,1259.3004795177526
2019-08-23,1155.18896484375,1179.1000600070747,1110.4160766866669,1152.9623739478047,20705,1233.91034418572,1249.3525098919545,1255.1970032934055,1258.2645440483595
2019-08-26,1220.000732421875,1315.7904669212173,1164.9179540366508,1188.7807176465483,58426,1232.58561925583,1248.2014597950886,1254.5000474345634,1257.8838096043148
2019-08-27,1232.0531005859375,1275.9063792507125,1208.1420040249538,1224.599066579781,35263,1232.5349031920307,1247.5681908064944,1254.0555534375608,1257.6267876240327
2019-08-28,1212.256103515625,1243.9601461509906,1210.0779631818975,1236.9416939645357,18020,1230.6035889371349,1246.1834030695977,1253.2278415579185,1257.1753380309142
2019-08-29,1179.7774658203125,1211.2394902524056,1172.3234334542985,1205.1407687270305,12853,1225.7630057831518,1243.5792486676648,1251.7733786720253,1256.4052099492167
2019-08-30,1175.566650390625,1205.2377890732316,1161.6749774199823,1185.1989429814128,10739,1220.982400507673,1240.9120879509182,1250.264334547641,1255.6008461725144
2019-09-03,1140.135498046875,1172.1300078164593,1136.505264026348,1163.611011379617,7437,1213.2826955114065,1236.9600648174264,1248.083565508022,1254.451937235941
2019-09-04,1148.1705322265625,1169.419456034002,1138.4414571986642,1140.1355665099718,11200,1207.0815371033261,1233.4781223628827,1246.1050896014585,1253.3944108179371
